"Timestamp","Surviving_Generations","Relative_Time_Spent_in_GC"
"01.05.2011 14:07:18","855","14"
"01.05.2011 14:07:19","861","15"
"01.05.2011 14:07:20","866","14"
"01.05.2011 14:07:21","871","15"
"01.05.2011 14:07:23","877","14"
"01.05.2011 14:07:24","882","15"
"01.05.2011 14:07:25","887","14"
"01.05.2011 14:07:26","893","14"
"01.05.2011 14:07:28","899","14"
"01.05.2011 14:07:29","905","16"
"01.05.2011 14:07:30","911","16"
"01.05.2011 14:07:31","917","14"
"01.05.2011 14:07:33","923","16"
"01.05.2011 14:07:34","928","15"
"01.05.2011 14:07:35","934","16"
"01.05.2011 14:07:37","941","16"
"01.05.2011 14:07:38","945","13"
"01.05.2011 14:07:39","951","13"
"01.05.2011 14:07:40","957","14"
"01.05.2011 14:07:42","962","14"
"01.05.2011 14:07:43","968","14"
"01.05.2011 14:07:44","973","14"
"01.05.2011 14:07:45","979","17"
"01.05.2011 14:07:47","984","17"
"01.05.2011 14:07:48","990","15"
"01.05.2011 14:07:49","996","14"
"01.05.2011 14:07:50","1002","14"
"01.05.2011 14:07:52","1008","14"
"01.05.2011 14:07:53","1014","15"
"01.05.2011 14:07:54","1019","15"
"01.05.2011 14:07:55","1024","15"
"01.05.2011 14:07:57","1029","15"
"01.05.2011 14:07:58","1036","14"
"01.05.2011 14:07:59","1042","15"
"01.05.2011 14:08:00","1047","16"
"01.05.2011 14:08:02","1053","15"
"01.05.2011 14:08:03","1059","15"
"01.05.2011 14:08:04","1065","15"
"01.05.2011 14:08:06","1071","15"
"01.05.2011 14:08:07","1077","16"
"01.05.2011 14:08:08","1083","14"
"01.05.2011 14:08:09","1089","14"
"01.05.2011 14:08:11","1095","16"
"01.05.2011 14:08:12","1101","15"
"01.05.2011 14:08:13","1107","16"
"01.05.2011 14:08:14","1113","16"
"01.05.2011 14:08:15","1118","15"
"01.05.2011 14:08:17","1124","14"
"01.05.2011 14:08:18","1130","15"
"01.05.2011 14:08:19","1135","15"
"01.05.2011 14:08:21","1142","15"
"01.05.2011 14:08:22","1148","15"
"01.05.2011 14:08:23","1154","14"
"01.05.2011 14:08:24","1159","15"
"01.05.2011 14:08:25","1165","15"
"01.05.2011 14:08:27","1173","16"
"01.05.2011 14:08:28","1178","15"
"01.05.2011 14:08:29","1184","16"
"01.05.2011 14:08:30","1190","15"
"01.05.2011 14:08:32","1195","15"
"01.05.2011 14:08:33","1202","15"
"01.05.2011 14:08:34","1208","15"
"01.05.2011 14:08:39","1219","45"
"01.05.2011 14:08:41","1224","9"
"01.05.2011 14:08:42","1229","10"
"01.05.2011 14:08:43","1235","14"
"01.05.2011 14:08:44","1241","15"
"01.05.2011 14:08:46","1248","15"
"01.05.2011 14:08:47","1253","15"
"01.05.2011 14:08:48","1259","14"
"01.05.2011 14:08:51","1269","74"
"01.05.2011 14:08:55","1283","78"
"01.05.2011 14:08:56","1290","14"
"01.05.2011 14:08:58","1297","14"
"01.05.2011 14:08:59","1303","15"
"01.05.2011 14:09:00","1308","14"
"01.05.2011 14:09:02","1313","13"
"01.05.2011 14:09:03","1318","16"
"01.05.2011 14:09:04","1324","15"
"01.05.2011 14:09:05","1329","13"
"01.05.2011 14:09:06","1335","14"
"01.05.2011 14:09:08","1341","15"
"01.05.2011 14:09:09","1347","15"
"01.05.2011 14:09:10","1352","14"
"01.05.2011 14:09:11","1358","14"
"01.05.2011 14:09:13","1364","14"
"01.05.2011 14:09:14","1370","15"
"01.05.2011 14:09:15","1376","15"
"01.05.2011 14:09:16","1382","14"
"01.05.2011 14:09:17","1388","14"
"01.05.2011 14:09:19","1394","15"
"01.05.2011 14:09:22","367","70"
"01.05.2011 14:09:23","372","13"
"01.05.2011 14:09:25","379","14"
"01.05.2011 14:09:26","384","14"
"01.05.2011 14:09:27","390","14"
"01.05.2011 14:09:28","396","14"
"01.05.2011 14:09:30","402","14"
"01.05.2011 14:09:36","415","9"
"01.05.2011 14:09:37","421","9"
"01.05.2011 14:09:38","428","14"
"01.05.2011 14:09:40","434","15"
"01.05.2011 14:09:41","440","15"
"01.05.2011 14:09:42","445","14"
"01.05.2011 14:09:43","451","14"
"01.05.2011 14:09:45","457","13"
"01.05.2011 14:09:46","463","13"
"01.05.2011 14:09:47","468","14"
"01.05.2011 14:09:48","474","15"
"01.05.2011 14:09:50","480","14"
"01.05.2011 14:09:51","486","13"
"01.05.2011 14:09:56","498","10"
"01.05.2011 14:09:58","505","14"
"01.05.2011 14:09:59","512","15"
"01.05.2011 14:10:00","517","14"
